VALUESET_NAME,CODE,CODE_SYSTEM,DISPLAY,VERSION
Cervical Cytology,88141,CPT,"Cytopathology, cervical or vaginal",HEDIS-2026
Cervical Cytology,88142,CPT,"Cytopathology, thin layer preparation",HEDIS-2026
Cervical Cytology,88143,CPT,"Cytopathology, thin layer, rescreening",HEDIS-2026
Cervical Cytology,88147,CPT,"Cytopathology, automated screening",HEDIS-2026
Cervical Cytology,88148,CPT,"Cytopathology, automated rescreening",HEDIS-2026
Cervical Cytology,88150,CPT,"Cytopathology, manual screening",HEDIS-2026
Cervical Cytology,88152,CPT,"Cytopathology, automated thin layer",HEDIS-2026
Cervical Cytology,88153,CPT,"Cytopathology, manual screening, rescreening",HEDIS-2026
Cervical Cytology,88164,CPT,"Cytopathology, manual screening, Bethesda",HEDIS-2026
Cervical Cytology,88165,CPT,"Cytopathology, manual rescreening, Bethesda",HEDIS-2026
Cervical Cytology,88166,CPT,"Cytopathology, manual screening, definitive",HEDIS-2026
Cervical Cytology,88167,CPT,"Cytopathology, automated screening, definitive",HEDIS-2026
Cervical Cytology,88174,CPT,"Cytopathology, automated thin layer, screening",HEDIS-2026
Cervical Cytology,88175,CPT,"Cytopathology, automated thin layer, definitive",HEDIS-2026
HPV Tests,87620,CPT,"HPV detection, direct probe",HEDIS-2026
HPV Tests,87621,CPT,"HPV detection, amplified probe",HEDIS-2026
HPV Tests,87622,CPT,"HPV detection, quantification",HEDIS-2026
HPV Tests,87624,CPT,"HPV detection, high-risk types",HEDIS-2026
HPV Tests,87625,CPT,"HPV detection, types 16 and 18",HEDIS-2026
Hysterectomy,58150,CPT,Total abdominal hysterectomy,HEDIS-2026
Hysterectomy,58152,CPT,Total abdominal hysterectomy with colpo-urethrocystopexy,HEDIS-2026
Hysterectomy,58200,CPT,Total abdominal hysterectomy with partial vaginectomy,HEDIS-2026
Hysterectomy,58260,CPT,Vaginal hysterectomy,HEDIS-2026
Hysterectomy,58262,CPT,Vaginal hysterectomy with tube/ovary removal,HEDIS-2026
Hysterectomy,58267,CPT,Vaginal hysterectomy with colpo-urethrocystopexy,HEDIS-2026
Hysterectomy,58270,CPT,Vaginal hysterectomy with enterocele repair,HEDIS-2026
Hysterectomy,58275,CPT,Vaginal hysterectomy with revision of vaginal vault,HEDIS-2026
Hysterectomy,58280,CPT,Vaginal hysterectomy with repair of enterocele,HEDIS-2026
Hysterectomy,58290,CPT,Vaginal hysterectomy with tube/ovary removal with repair,HEDIS-2026
Hysterectomy,58291,CPT,"Vaginal hysterectomy, complex",HEDIS-2026
Hysterectomy,58541,CPT,"Laparoscopy, supracervical hysterectomy",HEDIS-2026
Hysterectomy,58542,CPT,"Laparoscopy, supracervical hysterectomy, >250g",HEDIS-2026
Hysterectomy,58543,CPT,"Laparoscopy, supracervical hysterectomy with tube/ovary",HEDIS-2026
Hysterectomy,58544,CPT,"Laparoscopy, supracervical hysterectomy, >250g with tube/ovary",HEDIS-2026
Hysterectomy,58548,CPT,"Laparoscopy, total hysterectomy",HEDIS-2026
Hysterectomy,58550,CPT,"Laparoscopy, vaginal hysterectomy",HEDIS-2026
Hysterectomy,58570,CPT,"Laparoscopy, total hysterectomy, uterus <=250g",HEDIS-2026
Hysterectomy,58571,CPT,"Laparoscopy, total hysterectomy with tube/ovary, <=250g",HEDIS-2026
Hysterectomy,58572,CPT,"Laparoscopy, total hysterectomy, >250g",HEDIS-2026
Hysterectomy,58573,CPT,"Laparoscopy, total hysterectomy with tube/ovary, >250g",HEDIS-2026
Mammography,77056,CPT,"Mammography, bilateral",HEDIS-2026
Mammography,77057,CPT,"Screening mammography, bilateral",HEDIS-2026
Mammography,77061,CPT,"Digital breast tomosynthesis, unilateral",HEDIS-2026
Mammography,77062,CPT,"Digital breast tomosynthesis, bilateral",HEDIS-2026
Mammography,77063,CPT,"Screening digital breast tomosynthesis, bilateral",HEDIS-2026
Mammography,77065,CPT,"Diagnostic mammography, unilateral",HEDIS-2026
Mammography,77066,CPT,"Diagnostic mammography, bilateral",HEDIS-2026
Mammography,77067,CPT,"Screening mammography, bilateral, 2D",HEDIS-2026
Colonoscopy,44388,CPT,Colonoscopy through stoma,HEDIS-2026
Colonoscopy,44389,CPT,Colonoscopy through stoma with biopsy,HEDIS-2026
Colonoscopy,44390,CPT,Colonoscopy through stoma with foreign body removal,HEDIS-2026
Colonoscopy,44391,CPT,Colonoscopy through stoma with control of bleeding,HEDIS-2026
Colonoscopy,44392,CPT,Colonoscopy through stoma with polypectomy,HEDIS-2026
Colonoscopy,45378,CPT,"Colonoscopy, diagnostic",HEDIS-2026
Colonoscopy,45380,CPT,Colonoscopy with biopsy,HEDIS-2026
Colonoscopy,45381,CPT,Colonoscopy with directed submucosal injection,HEDIS-2026
Colonoscopy,45382,CPT,Colonoscopy with control of bleeding,HEDIS-2026
Colonoscopy,45383,CPT,Colonoscopy with ablation,HEDIS-2026
Colonoscopy,45384,CPT,Colonoscopy with polypectomy by hot biopsy,HEDIS-2026
Colonoscopy,45385,CPT,Colonoscopy with polypectomy by snare,HEDIS-2026
Colonoscopy,45386,CPT,Colonoscopy with balloon dilation,HEDIS-2026
Colonoscopy,45388,CPT,Colonoscopy with stent placement,HEDIS-2026
Colonoscopy,45389,CPT,Colonoscopy with endoscopic stent placement,HEDIS-2026
Colonoscopy,45390,CPT,Colonoscopy with endoscopic mucosal resection,HEDIS-2026
Colonoscopy,45391,CPT,Colonoscopy with endoscopic ultrasound,HEDIS-2026
Colonoscopy,45392,CPT,Colonoscopy with transendoscopic ultrasound guided FNA,HEDIS-2026
Colonoscopy,45393,CPT,Colonoscopy with decompression,HEDIS-2026
Colonoscopy,45398,CPT,Colonoscopy with band ligation,HEDIS-2026
HbA1c Lab Test,4548-4,LOINC,Hemoglobin A1c/Hemoglobin.total in Blood,HEDIS-2026
HbA1c Lab Test,4549-2,LOINC,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,HEDIS-2026
HbA1c Lab Test,17856-6,LOINC,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,HEDIS-2026
HbA1c Lab Test,62388-4,LOINC,Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC,HEDIS-2026
HbA1c Lab Test,71875-9,LOINC,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC,HEDIS-2026
HbA1c Lab Test,83036,CPT,Hemoglobin; glycosylated (A1c),HEDIS-2026
HbA1c Lab Test,83037,CPT,"Hemoglobin; glycosylated, home device",HEDIS-2026
Essential Hypertension,I10,ICD10,Essential (primary) hypertension,HEDIS-2026
Essential Hypertension,I11.0,ICD10,Hypertensive heart disease with heart failure,HEDIS-2026
Essential Hypertension,I11.9,ICD10,Hypertensive heart disease without heart failure,HEDIS-2026
Essential Hypertension,I12.0,ICD10,Hypertensive chronic kidney disease with stage 5,HEDIS-2026
Essential Hypertension,I12.9,ICD10,Hypertensive chronic kidney disease with stage 1-4,HEDIS-2026
Essential Hypertension,I13.0,ICD10,Hypertensive heart and chronic kidney disease with HF and stage 1-4,HEDIS-2026
Essential Hypertension,I13.10,ICD10,Hypertensive heart and chronic kidney disease without HF with stage 1-4,HEDIS-2026
